TC,TC_Description,TC_Main_Category,TC_Sub_Category
CPUB,Plan Template Allocation: Orders,CO,Activity-Based Costing
CPUK,Plan Template Allocation: Project,CO,Activity-Based Costing
CPUL,Plan Template Allocation: Projects,CO,Activity-Based Costing
CPV1,Create Actual Process Distribution,CO,Activity-Based Costing
CPV1N,Create Actual Process Distribution,CO,Activity-Based Costing
CPV2,Change Actual Distribution Process,CO,Activity-Based Costing
CPV2N,Change Actual Distribution Process,CO,Activity-Based Costing
CPV3,Display Actual Process Distribution,CO,Activity-Based Costing
CPV3N,Display Actual Process Distribution,CO,Activity-Based Costing
CPV4,Delete Actual Process Distribution,CO,Activity-Based Costing
CPV4N,Delete Actual Process Distribution,CO,Activity-Based Costing
CPV5,Execute Actual Process Distribution,CO,Activity-Based Costing
CPV6,Actual Process Distribution Overview,CO,Activity-Based Costing
CPV6N,Actual Process Distribution Overview,CO,Activity-Based Costing
CPV7,Create Plan Process Distribution,CO,Activity-Based Costing
CPV7N,Create Plan Process Distribution,CO,Activity-Based Costing
CPV8,Change Plan Process Distribution,CO,Activity-Based Costing
CPV8N,Change Plan Process Distribution,CO,Activity-Based Costing
CPV9,Display Plan Process Distribution,CO,Activity-Based Costing
CPV9N,Display Plan Process Distribution,CO,Activity-Based Costing
CPVA,Delete Plan Process Distribution,CO,Activity-Based Costing
CPVAN,Delete Plan Process Distribution,CO,Activity-Based Costing
CPVB,Execute Plan Process Distribution,CO,Activity-Based Costing
CPVC,Plan Process Distribution Overview,CO,Activity-Based Costing
CPVCN,Plan Process Distribution Overview,CO,Activity-Based Costing
CPZI,Actual overhead calc.: process,CO,Activity-Based Costing
CPZP,Plan Overhead: Business Processes,CO,Activity-Based Costing
CR00,Resource Planning Menu,PP,Work Center
CR04,Test Work Center Formulas,PP,Work Center
CR05,Work Center List,PP,Work Center
CR06,Work Center Assignment to Cost Ctr,PP,Work Center
CR07,Work Center Capacities,PP,Work Center
CR08,Work Center Hierarchy,PP,Work Center
CR09,Task list reference text,PP,Work Center
CR10,Work center change documents,PP,Work Center
CR11,Add Capacity,PP,Work Center
CR12,Change capacity,PP,Work Center
CR13,Display Capacity,PP,Work Center
CR15,Capacity where-used,PP,Work Center
CR21,Create Hierarchy,PP,Work Center
CR22,Change Hierarchy,PP,Work Center
CR23,Display Hierarchy,PP,Work Center
CR24,Create Resource Network,PP,Resources
CR25,Change Resource Network,PP,Resources
CR26,Display Resource Network,PP,Resources
CR31,Create Hierarchy,PP,Resources
CR32,Change Hierarchy,PP,Resources
CR33,Display Hierarchy,PP,Resources
CR40,Work center usage in deleted object,PP,Work Center
CR41,Archiving work centers,PP,Work Center
CR60,Work center information system,PP,Work Center
CRAA,Display Work Center,PP,Work Center
CRAH,Create Work Center,PP,Work Center
CRAV,Change Work Center,PP,Work Center
CRF1,Credit Cards: Read Original Data,FI,Payment Transactions
CRF2,Credit Cards: Delete Standard File,FI,Payment Transactions
CRF3,Credit Cards: Edit Standard File,FI,Payment Transactions
CRF4,Credit Cards: Edit Log,FI,Payment Transactions
CRK1,Create Card Document,FI,Payment Transactions
CRK2,Change Card Document,FI,Payment Transactions
CRK3,Display Card Document,FI,Payment Transactions
CRNA,Number Range Maintenance: CR_ARBPL,PP,Work Center
CRNH,Number range maintenance: CR_HIERAR,PP,Work Center
CRNK,Number Range Maintenance: CR_KAPA,PP,Work Center
CRR1,Evaluate Card Master Records,FI,Payment Transactions
CRR2,Evaluate Card Documents,FI,Payment Transactions
CRR3,Evaluate Log File,FI,Payment Transactions
CRS1,Create Credit Card Master Record,FI,Payment Transactions
CRS2,Change Credit Card Master Record,FI,Payment Transactions
CRS3,Display Credit Card Master Record,FI,Payment Transactions
CRTD,Payment Card: Create Example File,FI,Payment Transactions
CRWBD,Replication Workbench,Product Lifecycle Management,Product Data Replication
CS00,BOM Menu,Logistics,Bills of Material
CS01,Create Material BOM,Logistics,Bills of Material
CS02,Change Material BOM,Logistics,Bills of Material
CS03,Display Material BOM,Logistics,Bills of Material
CS05,Change Material BOM Group,Logistics,Bills of Material
CS06,Display Material BOM Group,Logistics,Bills of Material
CS07,Allocate Material BOM to Plant,Logistics,Bills of Material
CS08,Change Material BOM - Plant Alloc.,Logistics,Bills of Material
CS09,Display Allocations to Plant,Logistics,Bills of Material
CS11,Display BOM Level by Level,Logistics,Bills of Material
CS12,Multilevel BOM,Logistics,Bills of Material
CS13,Summarized BOM,Logistics,Bills of Material
CS14,BOM Comparison,Logistics,Bills of Material
CS15,Single-Level Where-Used List,Logistics,Bills of Material
CS20,Mass Change: Initial Screen,Logistics,Bills of Material
CS21,Mass Material Change: Initial Screen,Logistics,Bills of Material
CS22,Mass Document Change: Initial Screen,Logistics,Bills of Material
CS23,Mass Class Change: Initial Screen,Logistics,Bills of Material
CS31,Create class BOM,Logistics,Bills of Material
CS32,Change class BOM,Logistics,Bills of Material
CS33,Display class BOM,Logistics,Bills of Material
CS40,Create Link to Configurable Material,Logistics,Bills of Material
CS41,Change Material Config. Allocation,Logistics,Bills of Material
CS42,Display Material Config. Assignment,Logistics,Bills of Material
CS51,Create standard BOM,Logistics,Bills of Material
CS52,Change standard BOM,Logistics,Bills of Material
CS53,Display standard BOM,Logistics,Bills of Material
CS61,Create Order BOM,Logistics,Bills of Material
CS62,Change Order BOM,Logistics,Bills of Material
CS63,Display Order BOM,Logistics,Bills of Material
CS71,Create WBS BOM,Logistics,Bills of Material
CS72,Change WBS BOM,Logistics,Bills of Material
CS73,Display WBS BOM,Logistics,Bills of Material
CS74,Create multi-level WBS BOM,Logistics,Bills of Material
CS75,Change multi-level WBS BOM,Logistics,Bills of Material
CS76,Display multi-level WBS BOM,Logistics,Bills of Material
CS80,Change Documents for Material BOM,Logistics,Bills of Material
CS81,Change Documents for Standard BOM,Logistics,Bills of Material
CS82,Change documents for sales order BOM,Logistics,Bills of Material
CS83,Change documents for WBS BOM,Logistics,Bills of Material
CS84,Change documents for class BOM,Logistics,Bills of Material
CS90,Material BOM Number Ranges,Logistics,Bills of Material
CS91,Number Ranges for Standard BOMs,Logistics,Bills of Material
CS92,Number Ranges for Sales Order BOMs,Logistics,Bills of Material
CSA1,Enqueue test for dialog RFC,Logistics,Bills of Material
CSAB,Browse Sales Order BOM,Logistics,Bills of Material
CSADMIN,Content Server Administration,Basis,Content Management Service
CSC5,Single-Level Class Where-Used List,Logistics,Bills of Material
CSD5,Single-Level Doc. Where-Used List,Logistics,Bills of Material
CSK1,Sales order BOM multi-lev. explosion,Logistics,Bills of Material
CSK2,Multi-level sales order BOM,Logistics,Bills of Material
CSK3,Sales order BOM - summarized BOM,Logistics,Bills of Material
CSKB,Start order Browser,Logistics,Bills of Material
CSMB,Start material BOM browser,Logistics,Bills of Material
CSP1,Multi-level WBS BOM explosion,Logistics,Bills of Material
CSP2,WBS BOM multi-level BOM,Logistics,Bills of Material
CSP3,WBS BOM - summarized BOM,Logistics,Bills of Material
CSPB,Start WBS BOM browser,Logistics,Bills of Material
CSPC,Customer Specifications,Basis,System Administration Assistant
CT01,Create Characteristic,Cross Application,Characteristics
CT02,Change Characteristic,Cross Application,Characteristics
CT03,Display Characteristic,Cross Application,Characteristics
CT04,Characteristics,Cross Application,Characteristics
CT05,Create Characteristic,Cross Application,Characteristics
CT06,Display Characteristic,Cross Application,Characteristics
CT10,Characteristics List,Cross Application,Characteristics
CT12,Where-Used List for Char.Environment,Cross Application,Characteristics
CT21,Batch Input for Characteristics,Cross Application,Characteristics
CT22,Maint. Seq. File for Characteristics,Cross Application,Characteristics
CT23,Display Chars for Change Number,Cross Application,Characteristics
CT24,Display Change Numbers Used,Cross Application,Characteristics
CT25,Where-Used List of Chars in Deps,Cross Application,Characteristics
CTEW,TEW For Catt,Logistics,Trading Contract
CTNK,Number Ranges for Characteristics,Cross Application,Characteristics
CTU6,Function Tree with Tree Control,CO,Activity-Based Costing
CU00,Not_Found,Logistics,Variant Configuration
CU01,Create Dependency,Cross Application,Object Dependencies
CU02,Change Dependency,Cross Application,Object Dependencies
CU03,Display Dependency,Cross Application,Object Dependencies
CU04,Dependency List,Cross Application,Object Dependencies
CU05,Dependency Where-Used List,Cross Application,Object Dependencies
CU21,Create Dependency Net,Cross Application,Object Dependencies
CU22,Change Dependency Net,Cross Application,Object Dependencies
CU23,Display Dependency Net,Cross Application,Object Dependencies
CU31,Create Knowledge Base Object,SD,Sales and Distribution
CU32,Change Knowledge Base Object,SD,Sales and Distribution
CU33,Display Knowledge Base Object,SD,Sales and Distribution
CU34,Create Runtime Version for SCE,SD,Sales and Distribution
CU35,Change Runtime Version for SCE,SD,Sales and Distribution
CU36,Display Runtime Version for SCE,SD,Sales and Distribution
CU37,Create SCE Database Schema,SD,Sales and Distribution
CU41,Create Configuration Profile,Logistics,Variant Configuration
CU42,Change Configuration Profile,Logistics,Variant Configuration
CU43,Display Configuration Profile,Logistics,Variant Configuration
CU44,Material Configuration Overview,Logistics,Variant Configuration
CU45,Standard Network Config. Overview,Logistics,Variant Configuration
CU50,Material Config. Simul./Modelling,Logistics,Variant Configuration
CU51,Order BOM,Logistics,Variant Configuration
CU51E,CE: Order BOM (eoASL),Logistics,Variant Configuration
CU52,Display Order BOM,Logistics,Variant Configuration
CU52E,CE: Display Order BOM,Logistics,Variant Configuration
CU55,CE: WBS BOM (eoPSL),Logistics,Variant Configuration
CU59,Transfer Variant Table Contents,Cross Application,Object Dependencies
CU60,Table Maintenance,Cross Application,Object Dependencies
CU60E,MS Excel Upload of Variant Tables,Cross Application,Object Dependencies
CU61,Create Table Structure,Cross Application,Object Dependencies
CU62,Change Table Structure,Cross Application,Object Dependencies
CU63,Display Table Structure,Cross Application,Object Dependencies
CU64,Table Structure List,Cross Application,Object Dependencies
CU65,Create Function,Cross Application,Object Dependencies
CU66,Change Function,Cross Application,Object Dependencies
CU67,Display Function,Cross Application,Object Dependencies
CU68,Function List,Cross Application,Object Dependencies
CU70,Create Sort Sequence,Logistics,Variant Configuration
CU71,Change Sort Sequence,Logistics,Variant Configuration
CU72,Display Sort Sequence,Logistics,Variant Configuration
CU80,Configurable Mat. Characteristics,Logistics,Variant Configuration
CUAL,Distribution of SCE Knowledge Bases,SD,Sales and Distribution
CUCK,Copy Config. Material,Logistics,Variant Configuration
CUD2,Distr. Conf. Prof. for GM Task List,Logistics,Variant Configuration
CUD3,Distr. Conf. Prof. for Mod. Specs,Logistics,Variant Configuration
CUFD,Distribute Variant Functions,Cross Application,Object Dependencies
CUID,Distribution of Interface Designs,Logistics,Variant Configuration
CUK2,Distribute Dependency Nets,Logistics,Variant Configuration
CUNI,Units of measure,Basis,Units of Measurement
CUNK,Number Ranges for Dependencies,Cross Application,Object Dependencies
CUNR,Number Range Maintenance: CU_INOB,Logistics,Variant Configuration
CUSC,Customize Country Version,Cross Application,Global Organization Customizing
CV00,Document Management,Cross Application,Document Management System
CV01,Create Document Info Record,Cross Application,Document Management System
CV01N,Create Document,Cross Application,Document Management System
CV02,Change Document Info Record,Cross Application,Document Management System
CV02N,Change Document,Cross Application,Document Management System
CV03,Display Document Info Record,Cross Application,Document Management System
CV03N,Display document,Cross Application,Document Management System
CV04,List Document Info Records,Cross Application,Document Management System
CV04N,Find Document,Cross Application,Document Management System
CV11,Create Document Structure,Logistics,Bills of Material
CV12,Change Document Structure,Logistics,Bills of Material
CV13,Display Document Structure,Logistics,Bills of Material
CV130,TEST_CV130,Cross Application,Document Management System
CV15,Change Document BOM Group,Logistics,Bills of Material
CV16,Display Document BOM Group,Logistics,Bills of Material
CV22,Change Frontend Type,Cross Application,CAD Integration
CV30,Display Transfer Log,Cross Application,CAD Integration
CV31,Find CAD Interface Errors Online,Cross Application,CAD Integration
CV80,Change Documents for Doc. Structure,Logistics,Bills of Material
CV90,Number ranges for documents,Cross Application,Document Management System
CV91,Number Ranges for Doc. Structures,Logistics,Bills of Material
CVD1,Edit Report Shipping Orders,Environment; Health and Safety,Product Safety
CVI0,Document distribution,Cross Application,Document Management System
CVI1,Create recipient list,Cross Application,Document Management System
CVI2,Change recipient list,Cross Application,Document Management System
CVI3,Display recipient list,Cross Application,Document Management System
CVI4,All recipients of a document,Cross Application,Document Management System
CVI6,Display documents of recipient,Cross Application,Document Management System
CVI7,Start distribution with rec. list,Cross Application,Document Management System
CVI8,Start document distribution,Cross Application,Document Management System
CVI9,Log for distribution orders,Cross Application,Document Management System
CVII,Display Initial Order on Classific.,Cross Application,Document Management System
CVIX,Activate event type linkage,Cross Application,Document Management System
CVIY,Task-specific Customizing,Cross Application,Document Management System
CVW1,Internet scenario for doc. search,Cross Application,Document Management System
CVW2,Index search DMS in WWW,Cross Application,Document Management System
CVW3,Find documents in the World Wide Web,Cross Application,Document Management System
CVW3A,Find documents in the World Wide Web,Cross Application,Document Management System
CVW4,Display document lists in WWW,Cross Application,Document Management System
CVW4A,Display document lists in WWW,Cross Application,Document Management System
CVWD,WWW access:Distribtution order pack.,Cross Application,Document Management System
CVWG,DMS: Test for up/download ActiveX,Cross Application,Document Management System
CWBQM,QM: Engineering Workbench,QM,Inspection Planning
CWVT,Merchandise Distribution,Logistics,Merchandise Distribution
CX00,SAP Cons.: Application Menu,Enterprice Controlling,Consolidation
CX00N,SAP Cons.: Application Menu,Enterprice Controlling,Consolidation
CX01,SAP Cons: General Configuration Menu,Enterprice Controlling,Consolidation
CX01N,SAP Cons.: Configuration Menu,Enterprice Controlling,Consolidation
CX0A1,Edit Characteristics,Enterprice Controlling,Consolidation
CX0A2,Edit Field Groups,Enterprice Controlling,Consolidation
CX0A3,Generate Master Data Maint. Modules,Enterprice Controlling,Consolidation
CX0A4,Reorg.View Maintenance (master data),Enterprice Controlling,Consolidation
CX0A5,Maintain Characteristic Values,Enterprice Controlling,Consolidation
CX0A6,Display Characteristic Values,Enterprice Controlling,Consolidation
CX0A7,Maintain Characteristic Values,Enterprice Controlling,Consolidation
CX0A8,Display Characteristic Values,Enterprice Controlling,Consolidation
CX0AC,Attrib for CU: Maint. Char. Values,Enterprice Controlling,Consolidation
CX0AD,Attrib for CU: Displ. Char. Values,Enterprice Controlling,Consolidation
CX0AE,Subassign.: Maintain Char Values,Enterprice Controlling,Consolidation
CX0AF,Subassign.: Display Char Values,Enterprice Controlling,Consolidation
CX0C00,Check Ref. Integrity Customizing,Enterprice Controlling,Consolidation
CX0C10,Display Chg.Log - MasterData/Custom.,Enterprice Controlling,Consolidation
CX0T9,Export Transaction Data,Enterprice Controlling,Consolidation
CX0TA,Import Transaction Data,Enterprice Controlling,Consolidation
CX0TC,Transport of ECCS Customizing,Enterprice Controlling,Consolidation
CX0UD,Copy Customizing Between Dimensions,Enterprice Controlling,Consolidation
CX0UM,EC-CS: Migration from FI-LC,Enterprice Controlling,Consolidation
CX0UN,Copy Document Number Ranges,Enterprice Controlling,Consolidation
CX0US,EC-CS: Copy Sets,Enterprice Controlling,Consolidation
CX10,Create cons charts of accounts,Enterprice Controlling,Consolidation
CX11,Change cons charts of accounts,Enterprice Controlling,Consolidation
CX12,Display cons charts of accounts,Enterprice Controlling,Consolidation
CX13,Create FS items,Enterprice Controlling,Consolidation
CX14,Change FS items,Enterprice Controlling,Consolidation
CX15,Display FS items,Enterprice Controlling,Consolidation
CX16,Edit Item Hierarchy,Enterprice Controlling,Consolidation
CX17,Display Item Hierarchy,Enterprice Controlling,Consolidation
CX19,CU / Financial Data Type Assignments,Enterprice Controlling,Consolidation
CX1A,Create Breakdown Categories,Enterprice Controlling,Consolidation
CX1B,Change Breakdown Categories,Enterprice Controlling,Consolidation
CX1B0,List Master Data: Cons Units,Enterprice Controlling,Consolidation
CX1B1,Upload Methods - Cons Units,Enterprice Controlling,Consolidation
CX1B4,Consistency Check Transaction Data,Enterprice Controlling,Consolidation
CX1C,Display Breakdown Categories,Enterprice Controlling,Consolidation
CX1C0,List Master Data: Cons Groups,Enterprice Controlling,Consolidation
CX1C1,Upload Methods for Cons Groups,Enterprice Controlling,Consolidation
CX1C3,Copy Cons Group Hierarchies,Enterprice Controlling,Consolidation
CX1D,Create subitem categories,Enterprice Controlling,Consolidation
CX1E,Change subitem categories,Enterprice Controlling,Consolidation
CX1F,Display subitem categories,Enterprice Controlling,Consolidation
CX1G,Create subitems,Enterprice Controlling,Consolidation
CX1H,Change subitems,Enterprice Controlling,Consolidation
CX1H0,Where-used List for CG/CU,Enterprice Controlling,Consolidation
CX1H1,FS Items Where-Used List,Enterprice Controlling,Consolidation
CX1I,Display subitems,Enterprice Controlling,Consolidation
CX1I0,Upload Methods for FS Items,Enterprice Controlling,Consolidation
CX1I1,List Master Data: FS Items,Enterprice Controlling,Consolidation
CX1I3,Mass Change: FS Items,Enterprice Controlling,Consolidation
CX1I4,Breakdown Categories,Enterprice Controlling,Consolidation
CX1I5,Copy Item Sets,Enterprice Controlling,Consolidation
CX1J,Create dimensions,Enterprice Controlling,Consolidation
CX1K,Change Dimensions,Enterprice Controlling,Consolidation
CX1L,Display dimensions,Enterprice Controlling,Consolidation
CX1M,Create consolidation units,Enterprice Controlling,Consolidation
CX1N,Change Consolidation Units,Enterprice Controlling,Consolidation
CX1O,Display Consolidation Units,Enterprice Controlling,Consolidation
CX1P,Create consolidation group,Enterprice Controlling,Consolidation
CX1Q,Change consolidation group,Enterprice Controlling,Consolidation
CX1R,Display consolidation group,Enterprice Controlling,Consolidation
CX1S,Create Hierarchy,Enterprice Controlling,Consolidation
CX1S0,Upload Methods for Subitems,Enterprice Controlling,Consolidation
CX1S1,List Master Data: Subitems,Enterprice Controlling,Consolidation
CX1S3,Display subitem category/subitem,Enterprice Controlling,Consolidation
CX1S4,Change subitem category/subitem,Enterprice Controlling,Consolidation
CX1T,Change Hierarchy,Enterprice Controlling,Consolidation
CX1U,Display hierarchy,Enterprice Controlling,Consolidation
CX1X,Edit Cons Group Hierarchies,Enterprice Controlling,Consolidation
CX1XN,Edit Cons Group Hierarchies,Enterprice Controlling,Consolidation
CX1Y,Display CG Hierarchy,Enterprice Controlling,Consolidation
CX1YN,Display CG Hierarchy,Enterprice Controlling,Consolidation
CX20,Consolidation Monitor,Enterprice Controlling,Consolidation
CX21,Enter Additional Financial Data,Enterprice Controlling,Consolidation
CX22,Display Additional financial data,Enterprice Controlling,Consolidation
CX23,Default Values for Activity Entry,Enterprice Controlling,Consolidation
CX24,Preparation for Divestiture,Enterprice Controlling,Consolidation
CX26,Apportionment,Enterprice Controlling,Consolidation
CX27,List of Last Change of Task Status,Enterprice Controlling,Consolidation
CX2V1,Customize Version,Enterprice Controlling,Consolidation
CX30,General download,Enterprice Controlling,Consolidation
CX31,Specific download,Enterprice Controlling,Consolidation
CX32,Upload Financial Data; Offline Entry,Enterprice Controlling,Consolidation
CX34,Database list of totals,Enterprice Controlling,Consolidation
CX35,Centralized entry of reported data,Enterprice Controlling,Consolidation
CX36,Display reported financial data,Enterprice Controlling,Consolidation
CX37,Create data entry layout,Enterprice Controlling,Consolidation
CX38,Change data entry layout,Enterprice Controlling,Consolidation
CX39,Display data entry layout,Enterprice Controlling,Consolidation
CX3A,Translate Data Entry Layout,Enterprice Controlling,Consolidation
CX3B,CG: Assign Valid. and CU recordable,Enterprice Controlling,Consolidation
CX3D,Cons: Import Data Entry Layout,Enterprice Controlling,Consolidation
CX3D1,Download Reported Financial Data,Enterprice Controlling,Consolidation
CX3E,Cons: Transport Data Entry Layout,Enterprice Controlling,Consolidation
CX3F0,Upload Methods - Chgs in Investments,Enterprice Controlling,Consolidation
CX3F1,Upload Methods - Changes in Equity,Enterprice Controlling,Consolidation
CX3F2,Upload Methods - Equity Holdings Adj,Enterprice Controlling,Consolidation
CX3F3,Upload Changes in Investments,Enterprice Controlling,Consolidation
CX3F4,Upload Changes in Investee Equity,Enterprice Controlling,Consolidation
CX3F5,Upload Equity Holdings Adjustments,Enterprice Controlling,Consolidation
CX3F6,Method for uploading inventory data,Enterprice Controlling,Consolidation
CX3F7,Method for uploading supplier data,Enterprice Controlling,Consolidation
CX3F8,Upload Inventory Data,Enterprice Controlling,Consolidation
CX3F9,Upload Supplier Data,Enterprice Controlling,Consolidation
CX3FA,Upload Methods-Fair Value Adjs(Cust),Enterprice Controlling,Consolidation
CX3FC,Upload Meths: Fair Value Adjs(Value),Enterprice Controlling,Consolidation
CX3FD,Upload Fair Value Adjustments(Value),Enterprice Controlling,Consolidation
CX3FE,Upload Methods; Product Groups,Enterprice Controlling,Consolidation
CX3FG,Upload Methods for Breakdown Cats,Enterprice Controlling,Consolidation
CX3FI,Upload Methods for Goodwill,Enterprice Controlling,Consolidation
CX3FY,Flexible Upload (generic),Enterprice Controlling,Consolidation
CX3FZ,Flexible Upload (generic),Enterprice Controlling,Consolidation
CX3L1,DB List of Totals Recs/Jrnl Entries,Enterprice Controlling,Consolidation
CX3O0,Online Entry: Reorg File Descript.,Enterprice Controlling,Consolidation
CX3O1,Scaling Factor for Online Entry,Enterprice Controlling,Consolidation
CX40,Currency translation,Enterprice Controlling,Consolidation
CX50,Enter posting document,Enterprice Controlling,Consolidation
CX51,Change posting document,Enterprice Controlling,Consolidation
CX52,Display posting document,Enterprice Controlling,Consolidation
CX53,Number range maintenance,Enterprice Controlling,Consolidation
CX54,Intercompany elimination,Enterprice Controlling,Consolidation
CX55,Validate documents,Enterprice Controlling,Consolidation
CX56,Database list of journal entries,Enterprice Controlling,Consolidation
CX57,Consolidation of investments,Enterprice Controlling,Consolidation
CX58,Journal Entry Report,Enterprice Controlling,Consolidation
CX59,Journal Entry Layouts,Enterprice Controlling,Consolidation
CX5A,Cons: Number Ranges - FS Items,Enterprice Controlling,Consolidation
CX5B,Cons: Number Ranges - Cons Units,Enterprice Controlling,Consolidation
CX5C,Cons: Number Ranges - Activity No`s,Enterprice Controlling,Consolidation
CX5D,Cons: Number Range - Documents,Enterprice Controlling,Consolidation
CX5E,Delete Held Documents,Enterprice Controlling,Consolidation
CX5F,Display Held Documents,Enterprice Controlling,Consolidation
CX5G,Display Held Document,Enterprice Controlling,Consolidation
CX5H,Cons: Number Range Maintenance Log,Enterprice Controlling,Consolidation
CX5I1,Customizing of Interunit Elimination,Enterprice Controlling,Consolidation
CX5J1,Reconcile Totals with Jrnl Entries,Enterprice Controlling,Consolidation
CX5J2,Reconcile/Update Totals-Jrnl Entries,Enterprice Controlling,Consolidation
CX5P1,Inventory Data,Enterprice Controlling,Consolidation
CX5P2,Supplier Data,Enterprice Controlling,Consolidation
CX5R1,Customizing of Reclassifications,Enterprice Controlling,Consolidation
CX5T0,Custom Tasks,Enterprice Controlling,Consolidation
CX5T1,IMG: Tasks for Manual Posting; DM,Enterprice Controlling,Consolidation
CX5T2,IMG: Tasks for Manual Posting; CM,Enterprice Controlling,Consolidation
CX5T3,IMG: Tasks for Reclassifications; DM,Enterprice Controlling,Consolidation
CX5T4,IMG: Tasks for Reclassifications; CM,Enterprice Controlling,Consolidation
CX5T5,IMG: Tasks for Prep/CG Change; DM,Enterprice Controlling,Consolidation
CX5T6,IMG: Tasks for Prep/CG Change; CM,Enterprice Controlling,Consolidation
CX5T7,IMG: Tasks for Elim. of P/L in Inv.,Enterprice Controlling,Consolidation
CX5T8,Tasks for apportionment,Enterprice Controlling,Consolidation
CX5T9,Copy Tasks,Enterprice Controlling,Consolidation
CX5TA,Cons Groups to be Copied,Enterprice Controlling,Consolidation
CX5TB,Tasks without Settings,Enterprice Controlling,Consolidation
CX5TC,Cons Units to be Copied,Enterprice Controlling,Consolidation
CX5TD,Edit Consolidation Cycles,Enterprice Controlling,Consolidation
CX5TE,Assign Cons Cycles to Versions,Enterprice Controlling,Consolidation
CX5U0,Elim. of IU Profit/Loss in Inventory,Enterprice Controlling,Consolidation
CX5U1,Product Groups & Inventory Items,Enterprice Controlling,Consolidation
CX5U2,IPI: Product Group Posting Items,Enterprice Controlling,Consolidation
CX5U3,IPI: Inventory Item-Dep. Posting Itm,Enterprice Controlling,Consolidation
CX5U4,IPI: Offsetting items,Enterprice Controlling,Consolidation
CX5U5,IPI: Items for translation diff.,Enterprice Controlling,Consolidation
CX5U6,IPI: Item for reclass.of distr.costs,Enterprice Controlling,Consolidation
CX5UA,IPI: Item for distribution costs,Enterprice Controlling,Consolidation
CX5UB,Elim.IU P/L Inv: Subassign; Inv.Item,Enterprice Controlling,Consolidation
CX5UC,Global Settings for Elim.of IPI,Enterprice Controlling,Consolidation
CX5UD,Customizing Listing: IU P/L in Inv.,Enterprice Controlling,Consolidation
CX60,Enter changes in investments,Enterprice Controlling,Consolidation
CX61,Display changes in investments,Enterprice Controlling,Consolidation
CX62,Enter Changes in Investee Equity,Enterprice Controlling,Consolidation
CX63,Display Changes in Equity,Enterprice Controlling,Consolidation
CX64,Group shares,Enterprice Controlling,Consolidation
CX65,Changes in investments,Enterprice Controlling,Consolidation
CX66,Changes in investee equity,Enterprice Controlling,Consolidation
CX67,Amortization of goodwill,Enterprice Controlling,Consolidation
CX68,Equity Holdings Adjustments,Enterprice Controlling,Consolidation
CX6C1,Customizing of Cons. of Investments,Enterprice Controlling,Consolidation
CX6C2,Subitems for Equity Aging Report,Enterprice Controlling,Consolidation
CX6C3,Check Customizing of Cons of Investm,Enterprice Controlling,Consolidation
CX6F0,Goodwill Amortization/Writeup,Enterprice Controlling,Consolidation
CX6F1,Match Activity Numbers f. Inv./Eqty,Enterprice Controlling,Consolidation
CX6F2,Fair Value Adjustments,Enterprice Controlling,Consolidation
CX6F3,Reporting Fair Value Adjustment Data,Enterprice Controlling,Consolidation
CX6F4,Rptd Data; FVA: Reporting,Enterprice Controlling,Consolidation
CX6F5,Changes to Eliminated Fair Value Adj,Enterprice Controlling,Consolidation
CX6F6,Fair Value Adjustments,Enterprice Controlling,Consolidation
CX70,Rollup,Enterprice Controlling,Consolidation
CX71,Generation of cons group sets,Enterprice Controlling,Consolidation
CX72,Number ranges for set generation,Enterprice Controlling,Consolidation
CX73,Rollup batch processing,Enterprice Controlling,Consolidation
CX7B0,Read Customizing Data from SAP BW,Enterprice Controlling,Consolidation
CX7B1,Data transfer initialization,Enterprice Controlling,Consolidation
CX7B2,Comparison data slice BCS and BW,Enterprice Controlling,Consolidation
CX7B3,Read from InfoCube,Enterprice Controlling,Consolidation
CX7F0,List of Ownership,Enterprice Controlling,Consolidation
CXA0,Mass reversal,Enterprice Controlling,Consolidation
CXA2,Item Categories,Enterprice Controlling,Consolidation
CXA9,Reasons for Inclusion,Enterprice Controlling,Consolidation
CXAA,Hierarchy levels,Enterprice Controlling,Consolidation
CXAH,Hierarchy Level Relationships,Enterprice Controlling,Consolidation
CXAO,CU / Translation Method Assignments,Enterprice Controlling,Consolidation
CXAP,Cons Unit/Tax Rate Assignments,Enterprice Controlling,Consolidation
CXAQ,Cons: CU: Validation Assignment,Enterprice Controlling,Consolidation
CXAR,Mass Changes - Cons Units,Enterprice Controlling,Consolidation
CXAS,Mass Changes - Cons Groups,Enterprice Controlling,Consolidation
CXB1,Versions,Enterprice Controlling,Consolidation
CXB2,Consolidation frequencies,Enterprice Controlling,Consolidation
CXB3,Global System Settings,Enterprice Controlling,Consolidation
CXB4,Generate Authorizations for CGs,Enterprice Controlling,Consolidation
CXB5,Central maintenance of master data,Enterprice Controlling,Consolidation
CXBW0,Initial Data Transfer,Enterprice Controlling,Consolidation
CXBW1,Comparison of Data Slice,Enterprice Controlling,Consolidation
CXC2,Data Entry Groups,Enterprice Controlling,Consolidation
CXC4,Data entry profiles,Enterprice Controlling,Consolidation
CXC5,Cons: Selection parameters FICDOW00,Enterprice Controlling,Consolidation
CXC6,Cons: Selection parameters FICDOW10,Enterprice Controlling,Consolidation
CXC8,Assign PC Pathname to CG/CU,Enterprice Controlling,Consolidation
CXC9,Period Categories,Enterprice Controlling,Consolidation
CXCA,Financial data types,Enterprice Controlling,Consolidation
